id,collection,subject_id,filename,user_name,created_at,Collected by,Collection date,Collector Number,Country,County,Habitat and description,Location,Scientific author,Scientific name,State,State/Province
"5176c8efde59d92515000312","Herbarium","516db962ea30524109000eaf","000056657.large.png","not-logged-in","2013-04-23 17:46:23","A. Nels","08/23/1973","72532",,"Ouray",,"Small Mountain meadow, Red Mt. Pass, N of silverton, el 11,000 ft","A. Nels","SEDUM INTEGRIFOLIUM","CO",
"5176c953ded91039980001e3","Herbarium","516dbda2ea30524109001567","000055023.large.png","not-logged-in","2013-04-23 17:48:03",,,,,,,,,,,
"5176c9a7de59d9251500033b","Herbarium","516db524ea3052410900076d","000050537.large.png","not-logged-in","2013-04-23 17:49:27","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","small mountain meadow, Red. Mt. Pass, N of Silverton, el 11,000 ft.","r. k. godfrey","sedum integrifolium (raf.) a. nels","CO",
"5176c9b9de59d92515000347","Herbarium","516dc3b3ea30524109001f46","000051699.large.png","klk29","2013-04-23 17:49:45","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft.","(Raf.) A. Nels","SEDUM INTEGRIFOLIUM","CO",
"5176ca0dde59d92515000367","Herbarium","516dbabeea30524109001123","000052839.large.png","klk29","2013-04-23 17:51:03","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Red Mt. Pass, N of Silverton, el 11,000 ft.","(Raf.) A. Nels","Sedum integrifolium","CO",
"5176ca27de59d9251500036e","Herbarium","516db683ea305241090009bc","000034830.large.png","not-logged-in","2013-04-23 17:51:35","W. R. Fryar","07/04/1964","4",,"Leon",,"grown in the greenhouse","Small","Eupatorium capillifolium","FL",
"5176ca3ede59d9251500037f","Herbarium","516dc3d9ea30524109001f7d","000047022.large.png","jeremyhansen","2013-04-23 17:51:58","James D. Ray, Jr.","04/26/1961","10733",,"Seminole","Extensive long leaf pine-Serenoa repens flatwood. ","one mile southeast of Oviedo off Fla Rte. 419","Pursh","Ilex coriacea","FL",
"5176ca50ded9103998000221","Herbarium","516dc18fea30524109001bfe","000012619.large.png","not-logged-in","2013-04-23 17:52:16",,,,,,,,,,,
"5176ca5bde59d92515000393","Herbarium","516db7aaea30524109000bbd","000052835.large.png","not-logged-in","2013-04-23 17:52:27",,,,,"Ouray",,,"nels","sedum integrifolium","CO",
"5176ca5dde59d92515000396","Herbarium","516db760ea30524109000b3c","000047032.large.png","Universalspider","2013-04-23 17:52:29","Brenda Herring with Don Herring","08/31/1991","392",,"Suwannee","Edge of upland mixed forest with much exposed limestone.","Five miles NW of Fort White off of US 17 in Ichetucknee Springs State Park. Ca. 0.7 mile W of Old South Entrance at south-western most gate; 0.3 mile N of gate in N portion of section 3A.","(Michx.) Torr.","Ilex ambigua","FL",
"5176ca72de59d9251500039c","Herbarium","516db64aea30524109000957","000040477.large.png","klk29","2013-04-23 17:52:50","R. K. Godfrey","08/16/1957","55966",,"Taylor","Flowering summits of culms peeking out above the surface of 6 ft. of water, cypress pond","4 miles north of Steinhatchee","Sw.","Leersia hexandra","FL",
"5176ca88de59d925150003a9","Herbarium","516dbaceea30524109001143","000064203.large.png","not-logged-in","2013-04-23 17:53:12","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft","A. Nels","sedum integrifolium","CO",
"5176ca8cde59d925150003ac","Herbarium","516db45bea305241090005dc","000024309.large.png","not-logged-in","2013-04-23 17:53:16","Loran C. Anderson","04/16/1987","10382",,"Wakulla","Lower edge of highway berm facing marksy area of clobbered wet flatwoods.","2.5 mi. East of St. Marks River bridge (i.e. 2.7 mi. East of Newport)","Loran C. Anderson","Schoenus Nigricans L.","FL",
"5176ca90ded910399800023a","Herbarium","516db315ea30524109000342","000051257.large.png","not-logged-in","2013-04-23 17:53:20","R.K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Small mountain meadow, Red Mountain Pass, north of Silverton, elevation 11,000 feet","(Raf.) A. Nels","Sedum integrifolium","CO",
"5176ca97ded910399800023d","Herbarium","516dc003ea3052410900195f","000050880.large.png","not-logged-in","2013-04-23 17:53:27",,,,,"unknown",,,,,"FL",
"5176caa6ded9103998000246","Herbarium","516db1d3ea305241090000d3","000054127.large.png","not-logged-in","2013-04-23 17:53:42","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow, elevation 11,000 feet","Red Mt. Pass, North of Silverton, elevation 11,000 feet","(Raf. ) A. Nels","Sedum Integrifolium","CO",
"5176caaede59d925150003b5","Herbarium","516db59aea30524109000835","000050893.large.png","not-logged-in","2013-04-23 17:53:50","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Red Mt. Pass, N of Silverton, el 11,000 ft.","A. Nels","sedum integrifolium","CO",
"5176cab0de59d925150003b6","Herbarium","516db198ea3052410900005f","000052722.large.png","not-logged-in","2013-04-23 17:53:52","R. K. Godfrey","08/23/1973","72532",,"placeholder","Small mountain meadow","Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft.","(Raf.) A. Nels","sedum integrifolium","placeholder",
"5176cac0ded910399800024f","Herbarium","516db7b2ea30524109000bcc","000049269.large.png","Universalspider","2013-04-23 17:54:08","Loran C. Anderson","05/09/1995","15,466",,"Bay","Frequent damp, compacted sand of boat ramp and looser sand along edge","Sand Creek at powerline crossing S of Mule Creek","(Juss.) Less.","Soliva pterospera","FL",
"5176cac3de59d925150003bc","Herbarium","516db853ea30524109000ce4","000023119.large.png","not-logged-in","2013-04-23 17:54:11",,,,,,,,,,,
"5176cabeded910399800024e","Herbarium","516dbd52ea3052410900151f","000051386.large.png","klk29","2013-04-23 17:54:11","R. K. Godfrey","08/23/1973","72532",,"Ouray","small mountain meadow","Red Mt. Pass, N of Silverton, el 11,000 ft.","(Raf.) A. Nels","Sedum integrifolium","CO",
"5176cae5ded9103998000259","Herbarium","516db2a5ea30524109000262","000050794.large.png","not-logged-in","2013-04-23 17:54:45","R.K. Godfrey","08/23/1973","72532",,"Ouray","Meadow","Small mountain meadow, North of Silverton","A. Nels","Sedum Integrifolium","CO",
"5176cae6ded910399800025a","Herbarium","516db7a6ea30524109000bb6","000056369.large.png","not-logged-in","2013-04-23 17:54:46",,,"141515",,"unknown",,"Florida State University","R. K. Godfrey Herbarium",,"FL",
"5176cb03de59d925150003e6","Herbarium","516db900ea30524109000e11","000034944.large.png","jeremyhansen","2013-04-23 17:55:15","R. Kral & P.L. Redfearn","07/20/1956","2881",,"Holmes","Occasional in bottomland hardwood stand on wet sandy peat of pond margin","1m. W of Westville","Barratt","Eupatoriadelphus Fistulosus","FL",
"5176cb13de59d925150003ea","Herbarium","516dbb04ea305241090011a8","000054445.large.png","not-logged-in","2013-04-23 17:55:31","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft","R. K. Godfrey","Plant","CO",
"5176cb1dde59d925150003ee","Herbarium","516dbe75ea305241090016dc","000056782.large.png","Universalspider","2013-04-23 17:55:36","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow, Red Mt. Pass","N of Silverton, el 11,000 ft. ","(Raf.) A. Nels","Sedum Intergrifolium","CO",
"5176cb14ded9103998000264","Herbarium","516dbec2ea3052410900175c","000052724.large.png","Maulkin","2013-04-23 17:55:37",,,,,"unknown",,,"R. K. Godfrey","HERBARIUM","FL",
"5176cb21ded9103998000267","Herbarium","516db87bea30524109000d28","000054622.large.png","not-logged-in","2013-04-23 17:55:45","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow, el 11,000 ft.","Red Mt. Pass, N of Silverton, el 11,000 ft.","(Raf.) A. Nels","SEDUM INTEGRIFOLIUM","CO",
"5176cb30ded9103998000271","Herbarium","516db195ea3052410900005a","000050935.large.png","not-logged-in","2013-04-23 17:56:00","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small Mountain Meadow, 11,000 ft.","Red Mountain Pass, N of Silverton","A. Nels","Sedum Integrifolium (Raf.)","CO",
"5176cb38ded9103998000278","Herbarium","516dc21dea30524109001cfe","000053080.large.png","not-logged-in","2013-04-23 17:56:13","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft.","A. Nels","Sedum Integrifolium","CO",
"5176cb4dde59d92515000406","Herbarium","516dbdc2ea3052410900159a","000056569.large.png","not-logged-in","2013-04-23 17:56:23","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small Mountain Meadow","Red Mt. Pass, N of Silverton, el 11,000 ft.","(Raf). A. Nels","Sedum Integrifolium","CO",
"5176cb49de59d92515000403","Herbarium","516dbe28ea30524109001651","000051514.large.png","not-logged-in","2013-04-23 17:56:25","R. K. Godfrey","08/23/1973","72532",,"Ouray",,"Small mountatin Meadow, Red Mt. Pass, N of Silverton, el 11,000 ft","A. Nels","Sedum Integrifolium (Raf.)","CO",
"5176cb65ded910399800028a","Herbarium","516dc2aeea30524109001e0a","000071352.large.png","klk29","2013-04-23 17:56:58","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Red Mt. Pass, N of Silverton, el 11,000 ft","(Raf.) A. Nels","SEDUM INTEGRIFOLIUM","CO",
"5176cb6dded9103998000293","Herbarium","516db324ea30524109000362","000052268.large.png","not-logged-in","2013-04-23 17:57:00","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Red Mt. Pass in N of Silverton, el 11,000 ft","A. Nels","sedum integrifolium","CO",
"5176cb6cded9103998000291","Herbarium","516dba74ea30524109001097","000008518.large.png","not-logged-in","2013-04-23 17:57:05","R. Kral","11/12/1955","1784",,"Leon","along sandy road","road leading to Larkins Bluff on Ochlockenee River 26 miles west of talahassee","Nuttall","aster adnatus","FL",
"5176cb7ade59d92515000419","Herbarium","516dbe00ea3052410900160b","000024049.large.png","not-logged-in","2013-04-23 17:57:09","R. K. Godfrey","09/25/1975",,,"Franklin","Abundant in sandy-peaty soil, ephemeral pool","much disturbed area by Apalachicola Bay, Apalachicola","(Rottb.) Hassk","Cyperus Brevifolius","FL",
"5176cb77de59d92515000415","Herbarium","516dbf37ea3052410900181e","000050650.large.png","jeremyhansen","2013-04-23 17:57:11","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Red Mt. Pass, N of Silverton, el 11,000 ft.","Raf.","Sedum Integrifolium","CO",
"5176cb7ede59d9251500041d","Herbarium","516dbc6dea305241090013e2","000051548.large.png","not-logged-in","2013-04-23 17:57:13",,,,,,,,,,,
"5176cb74ded9103998000299","Herbarium","516dc16bea30524109001bc1","000056847.large.png","not-logged-in","2013-04-23 17:57:13","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Small mountain medadow, Red Mt Pass, N of Silverton","A. Nels","sedum integrifolium","CO",
"5176cb7bde59d9251500041a","Herbarium","516dc370ea30524109001ecb","000057248.large.png","not-logged-in","2013-04-23 17:57:15","R.K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow, elev 11,000 ft","Small mountain meadow, Red Mt. Pass, N of Silverton, elev 11,000ft","R.K. Godfrey","SEDUM INTEGRIFOLIUM (Raf.) A. Nels","CO",
"5176cb88de59d92515000422","Herbarium","516dbab1ea30524109001108","000050792.large.png","not-logged-in","2013-04-23 17:57:23","R. K. Godfrey","08/23/1973","72532",,"Ouray","Red Mt. Pass","Small mountain meadiw, red Mt. Pass","A. Nels","sedum integrifolium","CO",
"5176cb8ede59d92515000427","Herbarium","516dc122ea30524109001b3e","000009227.large.png","not-logged-in","2013-04-23 17:57:34","Almut G. Jones","10/20/1983","6647",,"Walton","moist brackish ground","Choctawhatchee Bay, south of Freeport","Scott Sundberg","Aster tenuifolius L.","FL",
"5176cbb2ded9103e3c000003","Herbarium","516dc25fea30524109001d76","000056904.large.png","not-logged-in","2013-04-23 17:57:45","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Red Mt. Pass, N of Silverton, el 11,000 ft.","(Raf.) A. Nels","SEDUM INTEGRIFOLIUM","CO",
"5176cbb2ded9103e3c000008","Herbarium","516db16bea30524109000006","000052553.large.png","not-logged-in","2013-04-23 17:57:46","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow, Red Mt. Pass","Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft.","(Raf.) A. Nels","SEDUM INTEGRIFOLIUM","CO",
"5176cbb2ded9103e3c000006","Herbarium","516dc04eea305241090019e0","000054263.large.png","not-logged-in","2013-04-23 17:57:46","R.K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Small mountain meadow, Red. Mt. Pass, N of Silverton, el 11,000 ft.","A. Nels","Sedum Integrifolium","CO",
"5176cbb2ded9103e3c000005","Herbarium","516dc3cbea30524109001f66","000054020.large.png","not-logged-in","2013-04-23 17:57:56","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small moutain meadow","Red Mt. Pass, N of Silverton, el 11,000 ft","A. Nels","Sedum Integrifolium","CO",
"5176cbb2ded9103e3c00000d","Herbarium","516dba03ea30524109000fdb","000053221.large.png","Maulkin","2013-04-23 17:57:57","R. K. Godfrey","08/23/1973","73532",,"unknown","Small mountain meadow","Small mountain meadow, Red Mt. Pass, N of Silverton","R. K. Godfrey","Sedum Integrifolium (Raf.) A. Nels","FL",
"5176cbb2ded9103e3c000009","Herbarium","516db4a9ea3052410900067e","000053704.large.png","not-logged-in","2013-04-23 17:57:57","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Red Mt. Pass, N of Silverton, el 11,000 ft.","A. Nels","SEDUM INTEGRIFOLIUM","CO",
"5176cbb2ded9103e3c000002","Herbarium","516db58fea30524109000821","000009961.large.png","not-logged-in","2013-04-23 17:57:57",,,,,,,,,,"placeholder",
"5176cbb2ded9103e3c000004","Herbarium","516db7f9ea30524109000c48","000008804.large.png","not-logged-in","2013-04-23 17:58:05","Paul L. Redfearn, Jr.","","1074",,"Leon","Growing in open areas of a pine-palmetto flat woods","Near Horne Springs. 6 miles SE of Tallahassee","L.","Aster dumosus ","FL",
"5176cbb3ded9103e3c000018","Herbarium","516dbb45ea30524109001218","000050320.large.png","not-logged-in","2013-04-23 17:58:10","Loran C. Anderson","","22,606",,"Wakulla","Frequent in moist loamy sand along outer border of small depression pond with Nyssa and Ilex myrtifolia","E of Rd 316 and W of Otter Creek (NNW of Otter Lake)","Loran C. Anderson","Xyris platylepis","FL",
"5176cbb5ded9103e3c000028","Herbarium","516db5c0ea3052410900087d","000008789.large.png","Universalspider","2013-04-23 17:58:13","John B. Nelson","10/23/1978","1068",,"Leon","Rays light purple, disks yellowish; few plants seen, these from water 4 inches deep, full sun at edge of lake; with Eleocharis, Xyris, Nelumbo, Pontederia","Pontederia; picnic area at Maclay Gardens Park, north of Tallahassee.","Michx.","Aster subulatus","FL",
"5176cbb8ded9103e3c00002e","Herbarium","516db7c8ea30524109000bf5","000024053.large.png","not-logged-in","2013-04-23 17:58:16","Loran C. Anderson","","20709",,"unknown","Wet sand loam of berm by boat launch","NW end of Lake Piney Z, in SE sector of Tallahassee","Vahl","Kyllinga odorata","FL",
"5176cbbcded9103e3c000034","Herbarium","516db98cea30524109000f03","000053206.large.png","TyrannosaurusBex","2013-04-23 17:58:20","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Red Mt. Pass, N of Silverton, el 11,000 ft.","(Raf.) A. Nels","SEDUM INTEGRIFOLIUM","CO",
"5176cbb7ded9103e3c00002c","Herbarium","516db57fea3052410900080b","000054867.large.png","not-logged-in","2013-04-23 17:58:20","R, K, Godfrey","08/23/1973","72532",,"Ouray","elevation 11,000 ft","Small mountain meadow, Red Mt. Oass, N of Silverton el 11,000 ft","A. Nels","sedum integrifolium","CO",
"5176cbc0ded9103e3c00003f","Herbarium","516db9feea30524109000fd0","000053806.large.png","not-logged-in","2013-04-23 17:58:24","No. 72532","08/23/1973","Det. RKG",,"Ouray","Collected by R. K. Godfrey","Date: 23 August 1973","Small mountain meadow, Red Mt. Pass N. of Silverton, el 11,000 f.","Sedum integrifolium (Raf.) A. Nels","CO",
"5176cbc1ded9103e3c000040","Herbarium","516db246ea305241090001a7","000053845.large.png","Joelsfallon","2013-04-23 17:58:25","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","N of Silverton, el 11,000 ft.","(Raf.) A. Nels","SEDUM INTEGRIFOLIUM","CO",
"5176cbc2ded9103e3c000044","Herbarium","516dbcaeea30524109001452","000010088.large.png","mothnflame","2013-04-23 17:58:31","R K Godfrey","11/08/1969","69251",,"Taylor","Shrub ca 2 m tall","In slash pine flatwoods, 12 miles SE of Perry.","Godfrey","BACCHARIS GLOMERULIFLORA","FL",
"5176cbcfded9103e3c00004b","Herbarium","516dc152ea30524109001b93","000054057.large.png","jacco","2013-04-23 17:58:39","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Small mountain meadow, Red Mt. Pass, N of Silverton, wl 11,000 ft.","(Raf.) A. Nels","Sedum Integrifolium","CO",
"5176cbd8de59d928e8000013","Herbarium","516dc0d1ea30524109001ab4","000057215.large.png","not-logged-in","2013-04-23 17:58:43","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Red Mt. Pass, N of Silverton, el 11,000 ft.","(Raf.) A. Nels","SEDUM INTEGRIFOLIUM","CO",
"5176cbd4de59d928e8000009","Herbarium","516db867ea30524109000d07","000052438.large.png","not-logged-in","2013-04-23 17:58:44","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow. el 11,000 ft.","Red Mt. Pass, N of Silverton","(Raf.) A. Nels","Sedum Integrifolium","CO",
"5176cbcfded9103e3c00004a","Herbarium","516dc0a4ea30524109001a61","000033535.large.png","monalisa85@gmail.com","2013-04-23 17:58:44","R. Lazor","10/25/1968","1335",,"Wakulla","Roadside margin of ti-ti thicket in pine flatwoods","6-8 miles W of junction of Hwy 268 and Apalachicola Forest Rd.","R. Lazor","Eupatorium perfoliatum L.","FL",
"5176cbd7de59d928e800000f","Herbarium","516db83fea30524109000cc6","000053683.large.png","grinch1000","2013-04-23 17:58:47","R. K. Godfrey","08/23/1973","72532",,"Ouray","Small mountain meadow","Red Mt. Pass, N of Siverton, el 11,000 ft","A. Nels","Sedum Integrifolium","CO",
